10,-75,15,10,-72,17,18, Occipital Lobe, Cuneus
-10,-85,10,-10,-82,13,18, Occipital Lobe, Cuneus
15,-90,25,15,-86,27,19, Occipital Lobe, Cuneus
10,-60,20,10,-57,21,31, Limbic Lobe, Posterior Cingulate
35,-65,25,35,-62,26,39, Temporal Lobe, Middle Temporal Gyrus
10,-60,25,10,-57,26,31, Occipital Lobe, Precuneus
0,-70,25,0,-67,26,31, Occipital Lobe, Precuneus
15,-90,20,15,-86,23,18, Occipital Lobe, Cuneus
5,-60,20,5,-57,21,23, Limbic Lobe, Posterior Cingulate
-5,-90,10,-5,-87,14,18, Occipital Lobe, Cuneus
10,-80,15,10,-77,18,18, Occipital Lobe, Cuneus
10,-70,15,10,-67,17,31, Limbic Lobe, Posterior Cingulate
-5,-95,15,-5,-91,18,18, Occipital Lobe, Cuneus
15,-70,25,15,-67,26,31, Parietal Lobe, Precuneus
20,-70,20,20,-67,22,31, Occipital Lobe, Precuneus
-10,-95,20,-10,-91,23,19, Occipital Lobe, Cuneus
15,-75,25,15,-72,27,31, Occipital Lobe, Precuneus
0,-95,15,0,-91,18,18, Occipital Lobe, Cuneus
-10,-80,10,-10,-77,13,17, Occipital Lobe, Cuneus
-10,-70,20,-10,-67,22,31, Occipital Lobe, Precuneus
-5,-90,30,-5,-86,32,19, Occipital Lobe, Cuneus
15,-95,25,15,-91,28,19, Occipital Lobe, Cuneus
20,-75,20,20,-72,22,31, Parietal Lobe, Precuneus
-5,-80,10,-5,-77,13,17, Occipital Lobe, Cuneus
35,-60,30,35,-57,30,39, Temporal Lobe, Superior Temporal Gyrus
20,-80,20,20,-77,22,18, Occipital Lobe, Cuneus
-10,-95,25,-10,-91,28,19, Occipital Lobe, Cuneus
15,-80,15,15,-77,18,18, Occipital Lobe, Cuneus
10,-95,20,10,-91,23,19, Occipital Lobe, Cuneus
10,-90,35,10,-86,37,19, Occipital Lobe, Cuneus
5,-65,15,5,-62,17,23, Limbic Lobe, Posterior Cingulate
5,-90,15,5,-87,18,18, Occipital Lobe, Cuneus
20,-70,35,20,-66,36,7, Parietal Lobe, Precuneus
-10,-90,10,-10,-87,14,18, Occipital Lobe, Cuneus
20,-45,30,20,-42,30,31, Parietal Lobe, Precuneus
20,-80,25,20,-76,27,31, Occipital Lobe, Precuneus
20,-85,25,20,-81,27,18, Occipital Lobe, Cuneus
0,-60,20,0,-57,21,23, Occipital Lobe, Precuneus
5,-60,25,5,-57,26,31, Limbic Lobe, Cingulate Gyrus
15,-95,20,15,-91,23,19, Occipital Lobe, Cuneus
10,-85,15,10,-82,18,18, Occipital Lobe, Cuneus
15,-85,15,15,-82,18,18, Occipital Lobe, Cuneus
10,-80,30,10,-76,31,19, Occipital Lobe, Cuneus
-5,-85,30,-5,-81,32,19, Occipital Lobe, Cuneus
-15,-90,20,-15,-86,23,18, Occipital Lobe, Cuneus
15,-85,30,15,-81,32,19, Occipital Lobe, Cuneus
-15,-85,15,-15,-82,18,18, Occipital Lobe, Cuneus
20,-95,25,20,-91,28,19, Occipital Lobe, Cuneus
-10,-95,15,-10,-91,18,18, Occipital Lobe, Cuneus
20,-45,25,20,-42,25,31, Limbic Lobe, Cingulate Gyrus
20,-90,20,20,-86,23,18, Occipital Lobe, Cuneus
40,-60,20,40,-57,21,39, Temporal Lobe, Middle Temporal Gyrus
25,-75,35,25,-71,36,19, Parietal Lobe, Precuneus
40,-55,25,40,-52,26,39, Temporal Lobe, Superior Temporal Gyrus
-10,-90,25,-10,-86,27,19, Occipital Lobe, Cuneus
0,-90,10,0,-87,14,18, Occipital Lobe, Cuneus
15,-75,15,15,-72,17,18, Occipital Lobe, Cuneus
-15,-95,20,-15,-91,23,19, Occipital Lobe, Cuneus
0,-65,25,0,-62,26,31, Occipital Lobe, Precuneus
5,-95,15,5,-91,18,18, Occipital Lobe, Cuneus
15,-45,30,15,-42,30,31, Limbic Lobe, Cingulate Gyrus
0,-85,10,0,-82,13,18, Occipital Lobe, Cuneus
15,-45,25,15,-42,25,31, Limbic Lobe, Cingulate Gyrus
-5,-95,10,-5,-92,14,18, Occipital Lobe, Cuneus
-15,-90,15,-15,-87,18,18, Occipital Lobe, Middle Occipital Gyrus
10,-50,30,10,-47,30,31, Parietal Lobe, Precuneus
15,-70,15,15,-67,17,18, Occipital Lobe, Cuneus
25,-85,25,25,-81,27,31, Occipital Lobe, Cuneus
20,-45,35,20,-42,34,31, Limbic Lobe, Cingulate Gyrus
20,-95,20,20,-91,23,19, Occipital Lobe, Cuneus
40,-60,25,40,-57,26,39, Temporal Lobe, Superior Temporal Gyrus
25,-75,20,25,-72,22,31, Occipital Lobe, Precuneus
20,-65,15,20,-62,17,31, Limbic Lobe, Posterior Cingulate
15,-50,35,15,-47,35,31, Parietal Lobe, Precuneus
